,__pad_num,_c0,juncType,pipeline_purpose_id,simple_part_id,part_L,part_id,rs_schema_id,schema_id,pipeline_id,node_id_end,node_id_start,L,simple_part_creation_date,node_name_start,altitude_start,node_type_start,node_name_end,altitude_end,node_type_end,D,S,thread_number,part_inuse_date,pipe_material,mestor_name,uphillM,startIsSource,startKind,defaultStartValue,endIsOutlet,endKind,endValue,startP,startT,endP,endT,effectiveD,intD,roughness,sourceByCount,outletByCount,adkuGzuPcollector,VolumeWater,startValue,X_start,X_end,Y_start,Y_end
55,,53,pipe,HC0002,1750016099,774,1750014134,1750000610,1750000610,1750005566,1750018039,1750021808,774,1211440529000,уз.к16,75.2,3,т.вр.к.18,75.8,3,159,10,1,1185134400000,сталь 20,Тайлаковское,0.599999999999994,False,,,False,,,,,,,0.85,0.139,1E-05,False,False,,,,443215.709210082,443289.080397092,6554547.4041643,6554014.76186602
56,,54,pipe,HC0002,1750019234,144,1750016995,1750000610,1750000610,1750006714,1750018377,1750018389,144,1269962746000,вр. к.3,91.5,3,т.вр.к.3,91.6,3,159,9,1,1146945600000,сталь 20А,Тайлаковское,0.099999999999994,False,,,False,,,,,,,0.85,0.141,1E-05,False,False,,,,440336.5,440358.56,6548549.85,6548666.3
57,,56,pipe,HC0002,1750016101,2275,1750014136,1750000610,1750000610,1750005566,1751052619,1750018040,2275,1211440725000,т.вр.к.13,87.4,3,т.вр.к.21,89.7,3,273,10,1,1180036800000,сталь 20С,Тайлаковское,2.3,False,,,False,,,,,,,0.85,0.253,1E-05,False,False,,,,442664.04,442195.775832866,6552521.61,6550304.64379405
58,,58,pipe,HC0002,1750036028,1705,1750016964,1750000610,1750000610,1750006714,1750018392,1751052719,1705,1487234631000,ЗКЛ№67.1,83.6,3,вр. к.1,84,3,219,10,1,1148932800000,сталь 20,Тайлаковское,0.400000000000006,False,,,False,,,,,,,0.85,0.199,1E-05,False,False,,,,438243.5,439814.71,6546300.16,6546135.23
59,,59,pipe,HC0002,1751043690,2364,1750022552,1750000610,1750000610,1750006714,1750045719,1750029699,2364,1551185629000,уз.к.15,86.5,3,уз.зкл к.14,89.3,3,159,10,1,1343764800000,сталь 13ХФА,Тайлаковское,2.8,False,,,False,,,,,,,0.85,0.139,1E-05,False,False,,,,436104.195988662,438327.488202522,6552883.72165117,6552640.11263698
60,,60,pipe,HC0002,1750016103,563,1750014138,1750000610,1750000610,1750005566,1750018040,1750021860,563,1211440901000,уз.к13,86.2,3,т.вр.к.13,87.4,3,159,10,1,1180296000000,сталь 20С,Тайлаковское,1.2,False,,,False,,,,,,,0.85,0.139,1E-05,False,False,,,,442197.12,442664.04,6552776.07,6552521.61
61,,61,pipe,HC0002,1750022916,5205,1750020431,1750000610,1750000610,1750006714,1750021812,1750025398,5205,1319447288000,"уз.к.38,64",66.6,3,Узел 2,82.6,3,219,8,1,1300136400000,сталь 20С,Тайлаковское,16,False,,,False,,,,,,,0.85,0.203,1E-05,False,False,,,,439181,440555.461430073,6542530.25,6546655.19240579
62,,68,pipe,HC0002,1750019283,400,1750014135,1750000610,1750000610,1750005566,1750018040,1750021888,400,1270547647000,"т.вр. к27, к24",84,3,т.вр.к.13,87.4,3,219,10,1,1185134400000,сталь 20С,Тайлаковское,3.40000000000001,False,,,False,,,,,,,0.85,0.199,1E-05,False,False,,,,442940.233811724,442664.04,6553264.38599961,6552521.61
63,,70,pipe,HC0002,1750019286,1300,1750017058,1750000610,1750000610,1750005566,1750021888,1750021891,1300,1270548050000,уз.вр. к24,85.1,3,"т.вр. к27, к24",84,3,219,10,1,1262206800000,сталь 20,Тайлаковское,-1.09999999999999,False,,,False,,,,,,,0.85,0.199,1E-05,False,False,,,,444181.45,442940.233811724,6552671.2,6553264.38599961
64,,71,pipe,HC0002,1750033189,1,1750028400,1750000610,1750000610,1750005566,1751062707,1751062706,1,1473666397000,ЗКЛ№328.1,59.9,3,ЗКЛ 328.1,59.9,3,219,8,1,1433106000000,сталь 09Г2С,Тайлаковское,0,False,,,False,,,,,,,0.85,0.203,1E-05,False,False,,,,439023.31,439048.63,6568313.55,6568298.45
65,,72,pipe,HC0002,1750033528,301,1750014136,1750000610,1750000610,1750005566,1750010908,1750029576,301,1474452685000,вр. к.22,84,3,ДНС-1 Тайлаковского,85.7,7,273,10,1,1180036800000,сталь 20С,Тайлаковское,1.7,False,,,True,P,4.8,,,,,0.85,0.253,1E-05,False,True,,,,441545.9415875,441554.290674888,6547131.78155573,6546720.19789019
66,,73,pipe,HC0002,1751043650,3280,1750014136,1750000610,1750000610,1750005566,1750029576,1751052619,3280,1551165276000,т.вр.к.21,89.7,3,вр. к.22,84,3,273,10,1,1180036800000,сталь 20С,Тайлаковское,-5.7,False,,,False,,,,,,,0.85,0.253,1E-05,False,False,,,,442195.775832866,441545.9415875,6550304.64379405,6547131.78155573
