,pumpModel,debit,pressure,eff,power,max,NominalQ
23712,ЭЦН5А-800-2300,1060,443.078476488741,15.7895795218444,303620.74382643,1101,800
23713,ЭЦН5А-800-2300,591,2733.3146644922,59.5897730697252,305803.713283156,1101,800
23714,ЭЦН5А-800-2300,677,2672.87127150164,63.3955594966664,323649.565944551,1101,800
23715,ЭЦН5А-800-2300,873,1870.08726204666,54.8176284042666,337328.136828729,1101,800
23716,ЭЦН5А-800-2300,1017,825.529813663998,28.1512955090445,313083.805035714,1101,800
23717,ЭЦН5А-800-2300,102,3217.15465737092,15.4736411216646,209387.863313938,1101,800
23718,ЭЦН5А-800-2300,261,2941.73940536001,35.500734560995,236535.537645929,1101,800
23719,ЭЦН5А-800-2300,374,2802.35222078311,45.2835937352313,256594.09062576,1101,800
23720,ЭЦН5А-800-2300,972,1223.77190455946,40.9282558356161,322868.520160845,1101,800
23721,ЭЦН5А-800-2300,211,3014.4630229058,30.4178357132692,228032.884096429,1101,800
23722,ЭЦН5А-800-2300,396,2777.94830379963,47.0913036495634,260661.453574022,1101,800
23723,ЭЦН5А-800-2300,75,3269.99117990981,11.3918413159578,204909.533612638,1101,800
23724,ЭЦН5А-800-2300,855,1973.01722298051,56.4836639342798,338120.524942109,1101,800
23725,ЭЦН5А-800-2300,898,1717.16185214938,51.9562826438039,334162.290235388,1101,800
23726,ЭЦН5А-800-2300,925,1550.81571594922,48.8117731152315,330545.83335571,1101,800
23727,ЭЦН5А-800-2300,1028,728.181747000663,25.028038540327,310691.985782904,1101,800
23728,ЭЦН5А-800-2300,52,3314.97959867686,7.89834331239738,201102.253850217,1101,800
23729,ЭЦН5А-800-2300,277,2921.3387483043,36.9167647944822,239329.868493736,1101,800
23730,ЭЦН5А-800-2300,346,2836.4695087571,42.8754487865644,251600.32486299,1101,800
23731,ЭЦН5А-800-2300,369,2808.22522327322,44.8606914137617,255693.692938194,1101,800
23732,ЭЦН5А-800-2300,568,2733.55507908327,58.2160508951231,300202.799651103,1101,800
23733,ЭЦН5А-800-2300,662,2697.46816308305,63.0417746155522,321283.586511563,1101,800
23734,ЭЦН5А-800-2300,770,2406.86630011288,62.5024753584507,335912.168393655,1101,800
23735,ЭЦН5А-800-2300,850,2000.80668860222,56.8995798546426,338196.101757144,1101,800
23736,ЭЦН5А-800-2300,883,1809.57637226059,53.7032323818997,336171.432946321,1101,800
23737,ЭЦН5А-800-2300,265,2936.63924109608,35.8547421193668,237234.120357881,1101,800
23738,ЭЦН5А-800-2300,610,2733.11606113435,60.7245870400486,310430.5549792,1101,800
23739,ЭЦН5А-800-2300,349,2832.78547152007,43.1342397931723,252134.242438016,1101,800
23740,ЭЦН5А-800-2300,354,2826.64540945836,43.565558137519,253024.105063061,1101,800
23741,ЭЦН5А-800-2300,423,2753.90858591104,49.1893308918131,265904.820473088,1101,800
23742,ЭЦН5А-800-2300,711,2610.62312825609,64.0075307013592,328943.322278681,1101,800
23743,ЭЦН5А-800-2300,940,1458.40119583801,47.0648233771358,328536.690644777,1101,800
23744,ЭЦН5А-800-2300,328,2858.57373217927,41.3227027469164,248396.819412829,1101,800
23745,ЭЦН5А-800-2300,336,2848.74963288053,42.0128120978711,249820.5996129,1101,800
23746,ЭЦН5А-800-2300,358,2821.73335980899,43.9106128129963,253735.995163096,1101,800
23747,ЭЦН5А-800-2300,835,2084.08872828449,58.1477271083666,338354.737955468,1101,800
23748,ЭЦН5А-800-2300,1100,150.515072727273,6.29609090909091,296343.454545455,1101,800
23749,ЭЦН5А-800-2300,58,3303.24348943328,8.80969061767399,202095.457266501,1101,800
23750,ЭЦН5А-800-2300,190,3050.27944162531,27.8564221554594,224433.474445859,1101,800
23751,ЭЦН5А-800-2300,326,2861.02975700396,41.1501754091778,248040.874362811,1101,800
23752,ЭЦН5А-800-2300,375,2801.18631524788,45.3681741995252,256774.513165309,1101,800
23753,ЭЦН5А-800-2300,614,2733.07424990112,60.9634952443272,311404.626915209,1101,800
23754,ЭЦН5А-800-2300,908,1655.55217207525,50.7916494850734,332822.861761433,1101,800
23755,ЭЦН5А-800-2300,158,3108.57327314115,23.6245875052823,218855.077631794,1101,800
23756,ЭЦН5А-800-2300,185,3059.2852910546,27.2168477534974,223579.192867961,1101,800
23757,ЭЦН5А-800-2300,916,1606.26442801594,49.859942958089,331751.318982269,1101,800
23758,ЭЦН5А-800-2300,1035,666.02845286681,23.0241591751267,309157.788023668,1101,800
23759,ЭЦН5А-800-2300,7,3403.0004180037,1.06323852282272,193653.228228089,1101,800
23760,ЭЦН5А-800-2300,171,3084.92244465741,25.3809690264426,221141.640035435,1101,800
23761,ЭЦН5А-800-2300,214,3009.56702460264,30.7689127262359,228544.35660137,1101,800
23762,ЭЦН5А-800-2300,233,2979.99036166027,32.8686939811306,231741.898668263,1101,800
23763,ЭЦН5А-800-2300,286,2910.15025349766,37.6996286544047,240921.973362455,1101,800
23764,ЭЦН5А-800-2300,395,2778.98122243551,47.0117967850799,260472.515831988,1101,800
23765,ЭЦН5А-800-2300,500,2734.26587004818,54.1546114223866,283643.576738946,1101,800
23766,ЭЦН5А-800-2300,506,2734.20315319833,54.5129737288045,285104.68464296,1101,800
23767,ЭЦН5А-800-2300,578,2733.45055100019,58.8133214058197,302637.979491126,1101,800
23768,ЭЦН5А-800-2300,889,1772.61056421611,53.0044524866613,335367.775861948,1101,800
23769,ЭЦН5А-800-2300,386,2788.73320517935,46.2829945932991,258793.479886413,1101,800
23770,ЭЦН5А-800-2300,600,2733.22058921743,60.1273165293521,307995.375139177,1101,800
23771,ЭЦН5А-800-2300,790,2323.21356168308,61.609259124623,337926.125996179,1101,800
23772,ЭЦН5А-800-2300,981,1144.12348638037,38.3728637703018,320911.577135818,1101,800
23773,ЭЦН5А-800-2300,121,3179.90935612922,18.2946809407283,212563.038003169,1101,800
23774,ЭЦН5А-800-2300,128,3166.18740304017,19.3340114003833,213732.839204464,1101,800
23775,ЭЦН5А-800-2300,472,2734.55854868078,52.4822539924362,276825.073186881,1101,800
23776,ЭЦН5А-800-2300,607,2733.14741955928,60.5454058868397,309700.001027193,1101,800
23777,ЭЦН5А-800-2300,1047,559.012464205337,19.5515609415512,306500.006808994,1101,800
23778,ЭЦН5А-800-2300,152,3119.72666526465,22.7967240742809,217817.635526917,1101,800
23779,ЭЦН5А-800-2300,323,2864.71379424098,40.8913844025698,247506.956787785,1101,800
23780,ЭЦН5А-800-2300,508,2734.18224758172,54.6324278309438,285591.720610964,1101,800
23781,ЭЦН5А-800-2300,518,2734.07771949864,55.2296983416404,288026.900450987,1101,800
23782,ЭЦН5А-800-2300,520,2734.05681388202,55.3491524437797,288513.936418992,1101,800
23783,ЭЦН5А-800-2300,666,2691.03060871009,63.138479079293,321921.289498293,1101,800
23784,ЭЦН5А-800-2300,679,2669.41246132422,63.4392502243717,323955.045455153,1101,800
23785,ЭЦН5А-800-2300,816,2189.57931188203,59.7287136297503,338555.677140012,1101,800
23786,ЭЦН5А-800-2300,895,1735.64475617162,52.305672591423,334564.118777575,1101,800
23787,ЭЦН5А-800-2300,1055,487.668471764355,17.2364954525008,304728.152665878,1101,800
23788,ЭЦН5А-800-2300,221,2998.30017785614,31.5715146401818,229727.264596173,1101,800
23789,ЭЦН5А-800-2300,983,1126.42383789612,37.8049988668986,320476.700908035,1101,800
23790,ЭЦН5А-800-2300,1009,896.328407600969,30.4227551226572,314823.309946848,1101,800
23791,ЭЦН5А-800-2300,149,3125.39763649014,22.3777098825008,217300.628526602,1101,800
23792,ЭЦН5А-800-2300,329,2857.34571976693,41.4089664157858,248574.791937838,1101,800
23793,ЭЦН5А-800-2300,696,2639.73243424811,63.7960564646176,326575.721402881,1101,800
23794,ЭЦН5А-800-2300,823,2150.7143600303,59.1462449113457,338481.646914127,1101,800
23795,ЭЦН5А-800-2300,206,3022.71722553098,29.8277079030959,227178.999606624,1101,800
23796,ЭЦН5А-800-2300,587,2733.35647572543,59.3508648654465,304829.641347147,1101,800
23797,ЭЦН5А-800-2300,714,2604.51030416399,64.0434095771145,329402.103547478,1101,800
23798,ЭЦН5А-800-2300,888,1778.77153222352,53.1209158025344,335501.718709343,1101,800
23799,ЭЦН5А-800-2300,300,2892.95807972487,38.9073200185753,243413.58871258,1101,800
23800,ЭЦН5А-800-2300,312,2878.22193077675,39.9424840450072,245549.259012687,1101,800
23801,ЭЦН5А-800-2300,442,2740.61838664999,50.5867987527584,269825.854149469,1101,800
23802,ЭЦН5А-800-2300,499,2734.27632285648,54.0948843713169,283400.058754943,1101,800
23803,ЭЦН5А-800-2300,643,2727.20152280755,62.5652454189795,318208.092724431,1101,800
23804,ЭЦН5А-800-2300,1054,496.586470819478,17.5258786386321,304949.634433767,1101,800
23805,ЭЦН5А-800-2300,23,3371.70412668749,3.49349800356038,196301.770671512,1101,800
23806,ЭЦН5А-800-2300,115,3191.67103020554,17.4038262610239,211560.351259201,1101,800
23807,ЭЦН5А-800-2300,109,3203.43270428187,16.5129715813196,210557.664515234,1101,800
23808,ЭЦН5А-800-2300,165,3095.8382116499,24.5703314012917,220086.303541447,1101,800
23809,ЭЦН5А-800-2300,217,3004.738375997,31.1117218307267,229051.15006184,1101,800
23810,ЭЦН5А-800-2300,291,2904.01019143595,38.1309469987513,241811.8359875,1101,800
23811,ЭЦН5А-800-2300,517,2734.08817230695,55.1699712905707,287783.382466985,1101,800
23812,ЭЦН5А-800-2300,667,2689.42122011685,63.1626551952282,322080.715244976,1101,800
23813,ЭЦН5А-800-2300,753,2475.66975420249,63.2148865258951,334071.637852696,1101,800
23814,ЭЦН5А-800-2300,890,1766.44959620869,52.8879891707883,335233.833014552,1101,800
23815,ЭЦН5А-800-2300,1078,282.554493496532,10.5806821714811,299634.072004419,1101,800
23816,ЭЦН5А-800-2300,278,2920.06370723832,37.0052666840752,239504.514171724,1101,800
23817,ЭЦН5А-800-2300,279,2918.78866617234,37.0957829723194,239679.159849712,1101,800
23818,ЭЦН5А-800-2300,989,1073.3248924434,36.1014041566891,319172.072224684,1101,800
23819,ЭЦН5А-800-2300,9,3399.08838158918,1.36702095791493,193984.296033517,1101,800
23820,ЭЦН5А-800-2300,178,3072.11618978701,26.3026820658968,222361.879835697,1101,800
23821,ЭЦН5А-800-2300,582,2733.40873976696,59.0522296100983,303612.051427135,1101,800
23822,ЭЦН5А-800-2300,13,3391.26430876012,1.97458582809934,194646.431644372,1101,800
23823,ЭЦН5А-800-2300,173,3081.28385565991,25.6511815681596,221493.418866765,1101,800
23824,ЭЦН5А-800-2300,183,3062.951262121,26.9551068273477,223230.763347298,1101,800
23825,ЭЦН5А-800-2300,316,2873.30988112738,40.2875387204845,246261.149112722,1101,800
